sponge_id,pair,volume,sponge_species,collection_site,flow_type,Alpheidae,Eunicidae,Actiniaria,Amphipoda,Syllidae,Clitellata,Phyllodocida,Ophiotrichidae,Ophionereididae,Ophiactis,Ophiuroidea,Fissurella,Columbellidae,Mollusca,Pilumnidae,Hippolytidae,Pelia_mutica,Petrolisthes,Periclimenaeus,Panulirus_argus,total_taxa,total_organisms,total_sym_ALL
TMI_19A_22TI,pair11,520,Tedania_ignis,Calabash_Channel_North,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
TMI_19A_23LD,pair12,180,Lissodendoryx_isodictyalis,Calabash_Channel_South,high,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3,3,7
TMI_19A_24TI,pair12,320,Tedania_ignis,Calabash_Channel_South,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TMI_19A_25LD,pair13,260,Lissodendoryx_isodictyalis,Calabash_Channel_North,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMI_19A_26TI,pair13,170,Tedania_ignis,Calabash_Channel_North,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
TMI_19A_27LD,pair14,700,Lissodendoryx_isodictyalis,Calabash_Channel_South,high,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8
TMI_19A_28TI,pair14,305,Tedania_ignis,Calabash_Channel_South,high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TMI_19A_29LD,pair15,380,Lissodendoryx_isodictyalis,Seahorse_Pond_South,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
TMI_19A_30TI,pair15,180,Tedania_ignis,Seahorse_Pond_South,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMI_19A_31LD,pair16,180,Lissodendoryx_isodictyalis,Seahorse_Pond_North,low,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14
TMI_19A_32TI,pair16,400,Tedania_ignis,Seahorse_Pond_North,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TMI_19A_33LD,pair17,280,Lissodendoryx_isodictyalis,Calabash_Pond_South,low,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,3,5,24
TMI_19A_34TI,pair17,150,Tedania_ignis,Calabash_Pond_North,low,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8
TMI_19A_35LD,pair18,60,Lissodendoryx_isodictyalis,Calabash_Pond_South,low,1,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,21
TMI_19A_36TI,pair18,na,Tedania_ignis,Calabash_Pond_North,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
